# lambda  	 theta 	 Rs 	 Rp 	 Ts 	 Tp
304.0 76.0 0.8287751865 0.0809809823 0.0982944174 0.5593660627
304.0 78.0 0.8510692408 0.0752590793 0.0853330875 0.5625369775
304.0 80.0 0.8740736005 0.0828372235 0.0720336940 0.5576629027
304.0 82.0 0.8977980294 0.1129104676 0.0583828257 0.5391667637
304.0 84.0 0.9222497181 0.1809775967 0.0443670979 0.4976437991
304.0 86.0 0.9474331677 0.3137719860 0.0299732919 0.4168654528
304.0 88.0 0.9733501865 0.5584957287 0.0151884605 0.2681667772
304.0 90.0 1.0000000000 1.0000000000 0.0000000000 0.0000000000
306.0 0.0 0.4179843047 0.4179843047 0.3738384636 0.3738384636
306.0 2.0 0.4182951716 0.4178940416 0.3736070926 0.3738834937
306.0 4.0 0.4192273364 0.4176214781 0.3729134909 0.3740197182
306.0 6.0 0.4207794929 0.4171613041 0.3717591922 0.3742505324
306.0 8.0 0.4229494656 0.4165047062 0.3701467533 0.3745815720
306.0 10.0 0.4257342152 0.4156394230 0.3680797526 0.3750206793
306.0 12.0 0.4291298477 0.4145498180 0.3655627876 0.3755778579
306.0 14.0 0.4331316319 0.4132169690 0.3626014659 0.3762652164
306.0 16.0 0.4377340272 0.4116187702 0.3592023904 0.3770969059
306.0 18.0 0.4429307258 0.4097300424 0.3553731334 0.3780890496
306.0 20.0 0.4487147130 0.4075226478 0.3511221988 0.3792596712
306.0 22.0 0.4550783482 0.4049656063 0.3464589682 0.3806286216
306.0 24.0 0.4620134695 0.4020252061 0.3413936290 0.3822175071
306.0 26.0 0.4695115240 0.3986651097 0.3359370835 0.3840496224
306.0 28.0 0.4775637245 0.3948464490 0.3301008365 0.3861498876
306.0 30.0 0.4861612319 0.3905279106 0.3238968627 0.3885447927
306.0 32.0 0.4952953623 0.3856658105 0.3173374521 0.3912623468
306.0 34.0 0.5049578142 0.3802141635 0.3104350386 0.3943320315
306.0 36.0 0.5151409127 0.3741247508 0.3032020105 0.3977847546
306.0 38.0 0.5258378625 0.3673472005 0.2956505099 0.4016527965
306.0 40.0 0.5370430046 0.3598290965 0.2877922228 0.4059697386
306.0 42.0 0.5487520656 0.3515161445 0.2796381673 0.4107703571
306.0 44.0 0.5609623935 0.3423524340 0.2711984834 0.4160904582
306.0 46.0 0.5736731665 0.3322808562 0.2624822321 0.4219666168
306.0 48.0 0.5868855691 0.3212437635 0.2534972089 0.4284357672
306.0 50.0 0.6006029229 0.3091839964 0.2442497779 0.4355345674
306.0 52.0 0.6148307657 0.2960464627 0.2347447312 0.4432984214
306.0 54.0 0.6295768702 0.2817805435 0.2249851794 0.4517599922
306.0 56.0 0.6448511970 0.2663437349 0.2149724767 0.4609469488
306.0 58.0 0.6606657782 0.2497071405 0.2047061830 0.4708785689
306.0 60.0 0.6770345289 0.2318637554 0.1941840656 0.4815606108
