x(m)	y(m)	Flux(W/m2)
0.393443	-2.28261	270716
0.52459	-2.28261	255676
0.655738	-2.28261	315836
0.786885	-2.28261	270716
0.918033	-2.28261	270716
1.04918	-2.28261	195517
1.18033	-2.28261	255676
1.31148	-2.28261	105279
1.44262	-2.28261	105279
1.57377	-2.28261	135358
1.70492	-2.28261	105279
1.83607	-2.28261	120318
1.96721	-2.28261	15039.8
2.09836	-2.28261	150398
2.22951	-2.28261	60159.2
2.36066	-2.28261	60159.2
2.4918	-2.28261	90238.7
2.62295	-2.28261	15039.8
2.7541	-2.28261	0
2.88525	-2.28261	15039.8
3.01639	-2.28261	15039.8
3.14754	-2.28261	15039.8
3.27869	-2.28261	30079.6
3.40984	-2.28261	15039.8
3.54098	-2.28261	0
3.67213	-2.28261	0
3.80328	-2.28261	30079.6
3.93443	-2.28261	15039.8
-3.93443	-2.15217	0
-3.80328	-2.15217	0
-3.67213	-2.15217	0
-3.54098	-2.15217	15039.8
-3.40984	-2.15217	15039.8
-3.27869	-2.15217	0
-3.14754	-2.15217	30079.6
-3.01639	-2.15217	15039.8
-2.88525	-2.15217	30079.6
-2.7541	-2.15217	15039.8
-2.62295	-2.15217	45119.4
-2.4918	-2.15217	30079.6
-2.36066	-2.15217	105279
-2.22951	-2.15217	120318
-2.09836	-2.15217	105279
-1.96721	-2.15217	150398
-1.83607	-2.15217	135358
-1.70492	-2.15217	90238.7
-1.57377	-2.15217	165438
-1.44262	-2.15217	300796
-1.31148	-2.15217	225597
-1.18033	-2.15217	270716
-1.04918	-2.15217	240637
-0.918033	-2.15217	345915
-0.786885	-2.15217	270716
-0.655738	-2.15217	391035
-0.52459	-2.15217	406074
-0.393443	-2.15217	466234
-0.262295	-2.15217	330875
-0.131148	-2.15217	360955
4.44089e-16	-2.15217	571512
0.131148	-2.15217	436154
0.262295	-2.15217	436154
0.393443	-2.15217	345915
0.52459	-2.15217	345915
0.655738	-2.15217	360955
0.786885	-2.15217	406074
0.918033	-2.15217	255676
1.04918	-2.15217	210557
1.18033	-2.15217	240637
1.31148	-2.15217	300796
1.44262	-2.15217	180477
1.57377	-2.15217	240637
1.70492	-2.15217	150398
1.83607	-2.15217	240637
1.96721	-2.15217	120318
2.09836	-2.15217	15039.8
2.22951	-2.15217	75199
2.36066	-2.15217	75199
2.4918	-2.15217	90238.7
